-19489,467267,115484.75,108963.96,104205.90,113210.85

-19488,467277,115484.75,109450.80,104205.90,113210.85

-19487,467288,115484.75,109450.80,104205.90,113210.85

-19486,467298,115484.75,109450.80,104208.02,113198.52

-19485,467308,115484.75,109450.80,104208.02,113198.52

-19484,467318,115484.75,109450.80,104208.02,113198.52

-19483,467329,115501.13,109450.80,104208.02,113198.52

-19482,467339,115501.13,109450.80,104208.02,113198.52

-19481,467349,115501.13,109712.71,104208.02,113198.52

-19480,467357,115501.13,109712.71,104207.96,113181.15

-19479,467367,115501.13,109712.71,104207.96,113181.15

-19478,467378,115501.13,109712.71,104207.96,113181.15

-19477,467388,115525.17,109712.71,104207.96,113181.15

-19476,467398,115525.17,109712.71,104207.96,113181.15

-19475,467408,115525.17,110276.64,104207.96,113181.15

-19474,467419,115525.17,110276.64,104207.96,113181.15

-19473,467429,115525.17,110276.64,104207.16,113124.18

-19472,467439,115525.17,110276.64,104207.16,113124.18

-19471,467449,115561.36,110276.64,104207.16,113124.18

-19470,467460,115561.36,110276.64,104207.16,113124.18

-19469,467470,115561.36,110276.64,104207.16,113124.18

-19468,467480,115561.36,112288.42,104207.16,113124.18

-19467,467490,115561.36,112288.42,104212.19,113163.09

-19466,467501,115561.36,112288.42,104212.19,113163.09

-19465,467511,115561.36,112288.42,104212.19,113163.09

-19464,467521,115606.94,112288.42,104212.19,113163.09

-19463,467531,115606.94,112288.42,104212.19,113163.09

-19462,467542,115606.94,116293.32,104212.19,113163.09

-19461,467552,115606.94,116293.32,104219.50,113163.09

-19460,467562,115606.94,116293.32,104219.50,113544.94

-19459,467572,115606.94,116293.32,104219.50,113544.94

-19458,467582,115903.66,116293.32,104219.50,113544.94

-19457,467593,115903.66,116293.32,104219.50,113544.94

-19456,467603,115903.66,132052.42,104219.50,113544.94

-19455,467613,115903.66,132052.42,104219.50,113544.94

-19454,467623,115903.66,132052.42,104221.50,113934.47

-19453,467634,115903.66,132052.42,104221.50,113934.47

-19452,467644,115903.66,132052.42,104221.50,113934.47

-19451,467654,117022.53,132052.42,104221.50,113934.47

-19450,467664,117022.53,132052.42,104221.50,113934.47

-19449,467675,117022.53,129516.83,104221.50,113934.47

-19448,467685,117022.53,129516.83,104214.88,113934.47

-19447,467695,117022.53,129516.83,104214.88,113176.81

-19446,467705,117022.53,129516.83,104214.88,113176.81

-19445,467716,116875.08,129516.83,104214.88,113176.81

-19444,467726,116875.08,129516.83,104214.88,113176.81

-19443,467736,116875.08,115298.86,104214.88,113176.81

-19442,467746,116875.08,115298.86,104214.88,113176.81

-19441,467757,116875.08,115298.86,104216.77,112905.54

-19440,467767,116875.08,115298.86,104216.77,112905.54

-19439,467777,116875.08,115298.86,104216.77,112905.54

-19438,467787,115958.85,115298.86,104216.77,112905.54

-19437,467798,115958.85,115298.86,104216.77,112905.54

-19436,467808,115958.85,107313.49,104216.77,112905.54

-19435,467818,115958.85,107313.49,104205.05,112931.67

-19434,467828,115958.85,107313.49,104205.05,112931.67

-19433,467838,115958.85,107313.49,104205.05,112931.67

-19432,467849,115577.86,107313.49,104205.05,112931.67

-19431,467859,115577.86,107313.49,104205.05,112931.67

-19430,467869,115577.86,106434.64,104205.05,112931.67

-19429,467879,115577.86,106434.64,104206.07,112931.67

-19428,467890,115577.86,106434.64,104206.07,113200.52

-19427,467900,115577.86,106434.64,104206.07,113200.52

-19426,467908,115435.21,106434.64,104206.07,113200.52

-19425,467918,115433.85,106434.64,104206.07,113200.52

-19424,467929,115433.85,106653.44,104206.07,113200.52

-19423,467939,115433.85,106653.44,104206.07,113200.52

-19422,467949,115433.85,106653.44,104210.71,113349.62

-19421,467959,115433.85,106653.44,104210.71,113349.62

-19420,467970,115433.85,106653.44,104210.71,113349.62

-19419,467980,115428.33,106653.44,104210.71,113349.62

-19418,467990,115428.33,106653.44,104210.71,113349.62

-19417,468000,115428.33,107238.50,104210.71,113349.62

-19416,468011,115428.33,107238.50,104207.45,113349.62

-19415,468021,115428.33,107238.50,104207.45,113314.10

-19414,468031,115428.33,107238.50,104207.45,113314.10

-19413,468041,115428.33,107238.50,104207.45,113314.10

-19412,468051,115428.33,107238.50,104207.45,113314.10

-19411,468062,115428.33,107243.71,104207.45,113314.10

-19410,468072,115428.33,107243.71,104207.45,113314.10

-19409,468082,115428.33,107243.71,104205.33,113339.89

-19408,468092,115428.33,107243.71,104205.33,113339.89

-19407,468103,115428.33,107243.71,104205.33,113339.89

